,school,ncaa_team_url,school_website_url
261,Sacred Heart,https://stats.ncaa.org/teams/574191,http://sacredheartpioneers.com
262,St. Bonaventure,https://stats.ncaa.org/teams/574192,http://www.gobonnies.com
263,St. John's (NY),https://stats.ncaa.org/teams/574193,http://www.redstormsports.com
264,Saint Joseph's,https://stats.ncaa.org/teams/574194,http://sjuhawks.com
265,Saint Louis,https://stats.ncaa.org/teams/574195,http://www.slubillikens.com
266,Saint Mary's (CA),https://stats.ncaa.org/teams/574196,http://www.SMCGaels.com
267,Saint Peter's,https://stats.ncaa.org/teams/574197,http://www.saintpeterspeacocks.com
268,Sam Houston,https://stats.ncaa.org/teams/574198,http://www.gobearkats.com
269,Samford,https://stats.ncaa.org/teams/574199,http://samfordsports.com
270,San Diego St.,https://stats.ncaa.org/teams/574200,http://goaztecs.com
271,San Diego,https://stats.ncaa.org/teams/574201,http://www.usdtoreros.com
272,San Francisco,https://stats.ncaa.org/teams/574202,https://usfdons.com/index.aspx
273,San Jose St.,https://stats.ncaa.org/teams/574203,http://www.sjsuspartans.com
274,Santa Clara,https://stats.ncaa.org/teams/574204,http://santaclarabroncos.com
275,Seton Hall,https://stats.ncaa.org/teams/574205,http://www.shupirates.com
276,Siena,https://stats.ncaa.org/teams/574206,http://www.sienasaints.com
277,South Alabama,https://stats.ncaa.org/teams/574207,http://www.usajaguars.com
278,South Carolina,https://stats.ncaa.org/teams/574208,http://gamecocksonline.com
279,South Dakota St.,https://stats.ncaa.org/teams/574209,http://www.gojacks.com
280,South Fla.,https://stats.ncaa.org/teams/574210,http://www.gousfbulls.com/
281,Southeast Mo. St.,https://stats.ncaa.org/teams/574211,http://www.GoSoutheast.com
282,Southeastern La.,https://stats.ncaa.org/teams/574212,http://www.lionsports.net
283,Southern California,https://stats.ncaa.org/teams/574213,http://usctrojans.com
284,Southern Ill.,https://stats.ncaa.org/teams/574214,http://www.siusalukis.com/
285,SIUE,https://stats.ncaa.org/teams/574215,http://www.siuecougars.com
286,Southern Miss.,https://stats.ncaa.org/teams/574216,http://www.southernmiss.com
287,Southern U.,https://stats.ncaa.org/teams/574217,http://www.gojagsports.com
288,Missouri St.,https://stats.ncaa.org/teams/574218,http://www.missouristatebears.com
289,Texas St.,https://stats.ncaa.org/teams/574219,http://txstatebobcats.com
290,Louisiana,https://stats.ncaa.org/teams/574220,http://www.ragincajuns.com
291,Stanford,https://stats.ncaa.org/teams/574221,http://gostanford.com/
292,SFA,https://stats.ncaa.org/teams/574222,http://SFAjacks.com
293,Stetson,https://stats.ncaa.org/teams/574223,http://www.gohatters.com
294,Stony Brook,https://stats.ncaa.org/teams/574224,http://stonybrookathletics.com
295,Tennessee Tech,https://stats.ncaa.org/teams/574225,http://www.TTUsports.com/
296,Tennessee,https://stats.ncaa.org/teams/574226,http://www.utsports.com
297,UT Martin,https://stats.ncaa.org/teams/574227,http://www.utmsports.com
298,Bellarmine,https://stats.ncaa.org/teams/574228,http://athletics.bellarmine.edu
299,UC San Diego,https://stats.ncaa.org/teams/574229,http://www.ucsdtritons.com
300,Lindenwood,https://stats.ncaa.org/teams/574230,http://lindenwoodlions.com
301,Queens (NC),https://stats.ncaa.org/teams/574231,http://www.queensathletics.com
302,Southern Ind.,https://stats.ncaa.org/teams/574232,http://www.gousieagles.com/
303,Stonehill,https://stats.ncaa.org/teams/574233,http://www.stonehillskyhawks.com
304,Le Moyne,https://stats.ncaa.org/teams/574412,http://www.lemoynedolphins.com
